ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,OpSys,Age,Gender,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities,NEWCollabToolsWantToWorkWith
712,I am a developer by profession,Employed full-time,Associate degree,"10,000 or more employees",5,9,"Developer, front-end",13116.0,HTML/CSS;JavaScript,HTML/CSS;JavaScript,,,Linux;MacOS;Windows,MacOS;Windows,jQuery;React.js,React.js;Vue.js,,Linux-based,28.0,Woman,,Node.js,,
739,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2-9 employees,4,4,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Student",39336.0,Bash/Shell/PowerShell;Java;JavaScript;Swift,C++;Dart;Go;JavaScript;Swift;WebAssembly,Firebase;MongoDB;MySQL,Elasticsearch;MongoDB;PostgreSQL,AWS;Google Cloud Platform;Heroku;iOS,AWS;Docker;Google Cloud Platform;Heroku;iOS;Raspberry Pi,Express,Express,,MacOS,24.0,Man,Node.js,Ansible;Flutter;Node.js;TensorFlow,Contribute to open-source projects,
767,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,6,9,"Developer, back-end;Product manager;Senior executive/VP",14748.0,HTML/CSS;JavaScript;PHP;SQL,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,MySQL,MariaDB;MySQL,AWS;Linux;Windows,Android;AWS;Docker;Linux;Slack;Windows;WordPress,jQuery;Other(s):,jQuery;Laravel;Other(s):,,Linux-based,30.0,Man,,Flutter,Hobby;Contribute to open-source projects,
833,"I used to be a developer by profession, but no longer am",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,5,12,,,Other(s):,Other(s):,,PostgreSQL;SQLite,Linux,Linux,,,,Linux-based,30.0,Man,,,Hobby;Contribute to open-source projects,
896,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,20 to 99 employees,3,5,"Developer, full-stack;Developer, mobile",8520.0,C#;HTML/CSS;Java;JavaScript;SQL,C#;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;Swift,MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,Android;Heroku;iOS;MacOS,Docker;Heroku;iOS;MacOS;Microsoft Azure,Angular/Angular.js;ASP.NET;jQuery;React.js,React.js;Ruby on Rails,,Windows,21.0,Man,.NET,.NET;Node.js;React Native,Hobby;Contribute to open-source projects,
934,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,2,5,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Engineering manager",11148.0,JavaScript;PHP;SQL,JavaScript;SQL;Swift,MySQL;Oracle;PostgreSQL;Redis,MongoDB,Docker;Linux;MacOS;Slack,Docker;iOS;Linux;MacOS;Slack,jQuery;Laravel;React.js,Express;React.js;Vue.js,,Linux-based,27.0,Man,React Native,React Native,Hobby;Contribute to open-source projects,
1068,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,4,10,"Designer;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack",31800.0,HTML/CSS;JavaScript;Python;SQL,HTML/CSS;JavaScript;Python;SQL,Elasticsearch;MongoDB;PostgreSQL,PostgreSQL,AWS;Linux;Microsoft Azure;Slack,Android;AWS;Docker;Linux;Slack,Angular/Angular.js;Django;Flask;React.js,Django;Flask;React.js,,Linux-based,27.0,Man,Node.js,Node.js;React Native,,
1190,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,6,9,"Academic researcher;Developer, front-end;Developer, game or graphics;Scientist;Student",14748.0,C#;HTML/CSS;Java;JavaScript;Python,HTML/CSS;JavaScript;Python;TypeScript,Firebase;SQLite,Firebase;MongoDB,Docker;Heroku;Linux;Microsoft Azure;Slack;Windows,AWS;Docker;Heroku;Linux;MacOS;Slack;Windows,Angular/Angular.js;ASP.NET;Express;jQuery;React.js,Express;React.js,,Windows,20.0,Man,.NET;.NET Core;Node.js,Node.js,Hobby;Contribute to open-source projects,
1196,I am a student who is learning to code,"Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,5,,,C;C++;SQL,Assembly;Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;PHP;Ruby,PostgreSQL,SQLite,Arduino,Android;iOS;Linux;Windows,,Angular/Angular.js;ASP.NET;React.js;Ruby on Rails,,Windows,,,,Node.js,Hobby,
1201,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,5,10,"Developer, full-stack;Product manager",30051.0,HTML/CSS;JavaScript;PHP;Python;SQL,Go;HTML/CSS;JavaScript;Python,MariaDB;MySQL;PostgreSQL;SQLite,Elasticsearch;Firebase;PostgreSQL;SQLite,Other(s):,Arduino;Docker;Other(s):,Django;Express;React.js,Django;Express;React.js;Vue.js,,Linux-based,28.0,Woman,Node.js,Node.js,Hobby;Contribute to open-source projects,
1298,I am a developer by profession,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2-9 employees,6,8,"Developer, front-end",5904.0,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,MariaDB;MySQL,WordPress,WordPress,jQuery,Laravel;React.js;Vue.js,,MacOS,32.0,Man,Node.js,Node.js,,
1333,I am a developer by profession,Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,2,5,"Academic researcher;Data scientist or machine learning specialist;Developer, back-end;Developer, full-stack;Developer, QA or test;Student",3936.0,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;Python;SQL;Other(s):,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python,MongoDB;MySQL;SQLite,SQLite,Docker;Linux;Slack,Docker;Linux,Django;Flask;jQuery,Django;Flask,,Linux-based,22.0,Woman,Pandas,Pandas,Hobby;Contribute to open-source projects,
1348,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",7,9,"Developer, front-end;Developer, full-stack",28412.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server,PostgreSQL,Microsoft Azure;Windows,Android;IBM Cloud or Watson;iOS;Microsoft Azure,Angular/Angular.js;ASP.NET,Angular/Angular.js;ASP.NET;React.js,,MacOS,32.0,Man,.NET;.NET Core,.NET Core;Node.js;React Native,Hobby;Contribute to open-source projects,
1404,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,13,15,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile",32784.0,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Oracle,Microsoft SQL Server;Oracle,Android;Arduino;iOS;MacOS;Windows,Android;Arduino;iOS;MacOS;Windows,ASP.NET;jQuery,Angular/Angular.js;ASP.NET;jQuery,,Windows,31.0,Man,Cordova;.NET;.NET Core,Cordova;.NET;.NET Core,Contribute to open-source projects,
1444,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",9,12,"Developer, desktop or enterprise applications;Developer, mobile",11472.0,C++;Java;Kotlin;Python;SQL,C++;Kotlin;Python;SQL,,,Android,Android;Docker;Kubernetes,,,,Windows,30.0,Man,,,,
1510,I am a student who is learning to code,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)",,,Less than 1 year,"Data or business analyst;Database administrator;Developer, full-stack;Student",,Bash/Shell/PowerShell;HTML/CSS;JavaScript,Bash/Shell/PowerShell;C++;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL,MongoDB,MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Heroku;Windows,Android;AWS;Linux;Windows,Express;jQuery,Angular/Angular.js;ASP.NET;Django;Express;jQuery;React.js;Vue.js,,Windows,24.0,Man,Node.js,.NET;Node.js;React Native,Hobby;Contribute to open-source projects,
1559,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,4,5,"Developer, back-end;Developer, front-end;DevOps specialist",13440.0,HTML/CSS;JavaScript;PHP;Ruby,Go,MariaDB;MySQL;PostgreSQL,MongoDB;Redis,Android;AWS;Google Cloud Platform;Linux;Slack;WordPress,AWS;Google Cloud Platform;Linux;Slack,Laravel;React.js;Ruby on Rails,Express;React.js,,Linux-based,27.0,Man,,,Hobby;Contribute to open-source projects,
1583,I am a student who is learning to code,Employed part-time,Some college/university study without earning a degree,,,3,"Developer, embedded applications or devices;Developer, full-stack;Developer, mobile;Educator;Student",,HTML/CSS;Java;JavaScript;PHP;Python;SQL,HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript;WebAssembly,Firebase;MariaDB;MySQL;SQLite,Firebase;MariaDB;MongoDB;MySQL;Redis;SQLite,Android;Google Cloud Platform;Windows,Android;Arduino;Google Cloud Platform;Linux,Django;Express;jQuery;Laravel;Vue.js,Express;Vue.js,,Windows,31.0,Man,Pandas;TensorFlow,Flutter;Node.js;Unity 3D,Hobby;Contribute to open-source projects,
1654,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,3,5,"Developer, back-end;Developer, front-end;Developer, full-stack",3276.0,HTML/CSS;Java;JavaScript;Python;Ruby;Scala;SQL,HTML/CSS;Java;JavaScript;Kotlin;Ruby;TypeScript,Microsoft SQL Server;Oracle;PostgreSQL;Redis,Cassandra;Firebase;MongoDB;PostgreSQL;Redis,AWS;Heroku;Linux;Microsoft Azure;Slack,Android;Docker;Heroku;Linux;Slack,jQuery;React.js;Ruby on Rails,Django;Express;React.js;Ruby on Rails;Spring;Vue.js,,Linux-based,24.0,Man,Node.js;Torch/PyTorch,Node.js;React Native;Unity 3D,Contribute to open-source projects,
1685,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",3,8,"Designer;Developer, full-stack;Developer, game or graphics;Developer, mobile",0.0,Elixir;HTML/CSS;JavaScript;PHP;Python,C#;Kotlin;Python,Cassandra;MariaDB;MongoDB;PostgreSQL,Cassandra;MariaDB;MongoDB;PostgreSQL,Docker;Kubernetes;MacOS,Android;Linux;Windows,Laravel,Django;Flask;Laravel;Vue.js,,Windows,29.0,Man,Node.js,.NET;Node.js;Unity 3D;Other(s):,Hobby;Contribute to open-source projects,
1687,I am a student who is learning to code,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,2,,,JavaScript;Python,Python,PostgreSQL,Firebase;Oracle;PostgreSQL,Android;iOS,Android;iOS,Django,Django,,MacOS,18.0,Man,React Native,React Native;TensorFlow;Unreal Engine,Hobby;Contribute to open-source projects,
1695,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,Less than 1 year,5,"Developer, front-end;Developer, full-stack;Developer, mobile;Student;System administrator",11472.0,HTML/CSS;JavaScript,HTML/CSS;JavaScript;TypeScript,Other(s):,MongoDB;PostgreSQL,,Android;Docker;iOS,,Express;React.js;Vue.js,,Windows,21.0,Man,,Node.js;React Native,Hobby;Contribute to open-source projects,
1752,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,7,8,"Developer, back-end;Developer, desktop or enterprise applications;Student",18036.0,C#;HTML/CSS;Java;JavaScript;SQL,C#;Clojure;F#;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;SQL;Swift,Microsoft SQL Server;MySQL;Oracle;SQLite,Cassandra;DynamoDB;Firebase;MariaDB;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Android;Windows,Android;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,ASP.NET;jQuery;Spring,ASP.NET;React.js;Spring,,Windows,32.0,Man,.NET,Flutter;.NET;.NET Core;Node.js;React Native;Unity 3D;Xamarin,Hobby;Contribute to open-source projects,
1773,I am a developer by profession,"Not employed, but looking for work",Some college/university study without earning a degree,,7,10,"Developer, back-end;Developer, front-end;Developer, full-stack",,Clojure;HTML/CSS;JavaScript;Python,C#;Clojure;Elixir;F#;HTML/CSS;JavaScript;Python;TypeScript,DynamoDB;Elasticsearch;PostgreSQL;SQLite,DynamoDB;Elasticsearch;Firebase;PostgreSQL;SQLite,AWS;Docker;Kubernetes;Linux;MacOS;Microsoft Azure;Slack,Android;AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Slack,React.js,React.js;Ruby on Rails,,MacOS,24.0,Man,Node.js;Other(s):,Node.js;React Native;Other(s):,Hobby;Contribute to open-source projects,
1818,I am a student who is learning to code,"Not employed, and not looking for work",Primary/elementary school,,,4,,,C++;JavaScript;Python,C++;JavaScript;Python,,,iOS;Raspberry Pi;Windows,Arduino;iOS;Raspberry Pi;Windows,,React.js,,Windows,14.0,Man,.NET;Xamarin,React Native,Hobby,
1832,I am a developer by profession,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees",6,7,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Student",16392.0,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;TypeScript,Bash/Shell/PowerShell;C#;Dart;F#;Go;JavaScript;Kotlin;Python;Scala;TypeScript;WebAssembly,Elasticsearch;MariaDB;MongoDB;Microsoft SQL Server;MySQL;Redis,DynamoDB;MongoDB;Microsoft SQL Server;Redis;SQLite,Linux;Windows;WordPress,Android;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack;Windows,Angular/Angular.js;ASP.NET;jQuery;Laravel,ASP.NET;Express;React.js,,Windows,23.0,Man,.NET,.NET;.NET Core;React Native;Xamarin,Contribute to open-source projects,
1866,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,10 to 19 employees,4,6,"Academic researcher;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Engineer, data;Marketing or sales professional;Scientist;Student;System administrator",,Assembly;Bash/Shell/PowerShell;C;C++;C#;F#;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;WebAssembly,Assembly;Bash/Shell/PowerShell;C;C++;Clojure;F#;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;R;Ruby;Scala;SQL;Swift;TypeScript;WebAssembly,Couchbase;DynamoDB;Firebase;MariaDB;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,DynamoDB;Firebase;MariaDB;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Android;Arduino;AWS;Google Cloud Platform;iOS;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows;WordPress,Android;Arduino;Google Cloud Platform;iOS;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,Angular/Angular.js;ASP.NET;Django;jQuery;React.js;Ruby on Rails;Spring;Vue.js,Angular/Angular.js;ASP.NET;React.js;Ruby on Rails;Spring;Vue.js,,Linux-based,,Man,Apache Spark;Cordova;CryEngine;.NET;.NET Core;Node.js;React Native;TensorFlow;Unity 3D;Unreal Engine;Xamarin,Apache Spark;Cordova;CryEngine;Node.js;React Native;TensorFlow;Unity 3D;Unreal Engine;Xamarin,Hobby,
1998,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)",,,,,,,HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript;WebAssembly,,,,,,,,,,,,,Hobby;Contribute to open-source projects,
2021,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees",11,12,"Developer, full-stack",25953.0,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Microsoft SQL Server;Other(s):,Elasticsearch;MongoDB,WordPress,WordPress,Angular/Angular.js;jQuery,Angular/Angular.js;React.js,,Windows,32.0,Man,,Hadoop;Node.js;React Native;Unity 3D,Hobby;Contribute to open-source projects,
2045,"I used to be a developer by profession, but no longer am","Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)",,12,18,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;Java;JavaScript;SQL,MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Elasticsearch;MongoDB;Redis;SQLite,Slack;Windows;WordPress,Android;AWS;Docker;Google Cloud Platform;iOS;Linux;Microsoft Azure;Windows,Angular/Angular.js;ASP.NET;jQuery,Angular/Angular.js;ASP.NET,,Windows,37.0,Man,.NET;.NET Core;Xamarin,.NET;.NET Core;Node.js;Xamarin,Hobby,
2085,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,11,14,"Developer, back-end;Developer, front-end;Developer, full-stack",10654.0,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL,HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,Docker;WordPress,Docker;WordPress,Angular/Angular.js;jQuery,Angular/Angular.js,,Windows,30.0,Man,,,Hobby;Contribute to open-source projects,
2093,I am a student who is learning to code,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)",,,9,Academic researcher;Data scientist or machine learning specialist;Student,,Bash/Shell/PowerShell;C++;Python;R,Bash/Shell/PowerShell;C++;Go;JavaScript;Python;R;SQL,,PostgreSQL;SQLite,Linux,Heroku;Linux,,,,Linux-based,24.0,Man,Pandas,Pandas;TensorFlow,Hobby;Contribute to open-source projects,
2097,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,18,26,"Developer, full-stack",34092.0,C#;HTML/CSS;JavaScript;TypeScript,C#;HTML/CSS;JavaScript;Python;TypeScript,MySQL;Oracle,Cassandra;Firebase;MongoDB;Redis,Docker;Windows,Docker,Angular/Angular.js;ASP.NET,Angular/Angular.js,,Windows,41.0,Man,.NET,Apache Spark;.NET Core,Hobby,
2107,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",12,15,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",26232.0,HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;Java;JavaScript;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,Linux;Windows,Android;iOS;Kubernetes;Linux;Windows,Angular/Angular.js;jQuery;React.js;Spring,Angular/Angular.js;React.js;Spring,,Windows,33.0,Man,,Cordova;React Native,Hobby;Contribute to open-source projects,
