ResponseId,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,DevEnviron,OpSys,Age,Gender,CodingActivities,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MainBranch
661,Employed full-time,Some college/university study without earning a degree,20 to 99 employees,,6-8 years,Full-stack developer,,C#;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS,Clojure;Go;Kotlin,MongoDB;SQL Server;MySQL,SQLite;Elasticsearch,Android;Drupal;Heroku;Linux;Firebase,AWS;Raspberry Pi;WordPress;Firebase,Angular;Node.js;React;Cordova,.NET Core,Android Studio;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,,,Hobby;Contribute to open-source projects,,,,,
666,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,0-2 years,0-2 years,Front-end developer,,,,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",MongoDB,Firebase,,Angular,Node.js;React,Visual Studio;Visual Studio Code,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
733,Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees,0-2 years,0-2 years,Back-end developer;Full-stack developer;Mobile developer;Student,1872.0,Java;JavaScript;TypeScript,Erlang;JavaScript;Python;SQL;HTML;CSS,MySQL,MySQL,Android;iOS,Android;iOS;Firebase,Angular;Cordova,Node.js;React,Android Studio;Visual Studio Code,Linux-based,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
762,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees",3-5 years,9-11 years,Back-end developer;Desktop or enterprise applications developer;Front-end developer,27696.0,Java;JavaScript;SQL;HTML;CSS,JavaScript;Ruby;Rust;TypeScript,MongoDB;PostgreSQL,MongoDB;Neo4j,Azure,Heroku,Angular;Node.js;React;Spring,React,Atom;IntelliJ;Vim;Visual Studio Code,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
806,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",,6-8 years,Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
902,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,3-5 years,12-14 years,Engineering manager,29940.0,,C++,,,,,,,Vim,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
937,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",0-2 years,6-8 years,Back-end developer;Mobile developer,6360.0,Assembly;C;Java;Python;Kotlin,Python;Rust,SQL Server;PostgreSQL,,Android;Arduino;Linux,Linux,.NET Core,TensorFlow,Android Studio;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
955,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,,9-11 years,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
1151,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,0-2 years,6-8 years,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,7860.0,C++;C#;JavaScript;Python;HTML;CSS,C++;JavaScript;Python;HTML;CSS,MongoDB;SQLite,MongoDB;Redis;SQLite;Elasticsearch,Android;Arduino;Heroku;Linux;Raspberry Pi;Windows Desktop or Server;WordPress,Android;Heroku;Linux;Windows Desktop or Server,Angular;.NET Core;Node.js;Xamarin,Node.js;React;TensorFlow,Atom;Sublime Text;Visual Studio;Visual Studio Code,Linux-based,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
1249,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,12-14 years,15-17 years,Front-end developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
1274,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees,9-11 years,12-14 years,"C-suite executive (CEO, CTO, etc.);Full-stack developer",23208.0,JavaScript;TypeScript;HTML;CSS,JavaScript;Python;Rust;HTML;CSS,MongoDB;MySQL;SQLite;Elasticsearch,MongoDB;MySQL;SQLite,,Firebase,Angular;Node.js;Cordova,Angular;Node.js;React;TensorFlow,Atom;Sublime Text,Linux-based,25 - 34 years old,Male,Contribute to open-source projects,,,,,
1297,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,6-8 years,6-8 years,Back-end developer;Front-end developer;Full-stack developer,10476.0,Java;JavaScript;SQL;VB.NET;Kotlin;Delphi/Object Pascal;HTML;CSS,Go;JavaScript;SQL;Kotlin;HTML;CSS,SQL Server;MySQL;Oracle,SQL Server;MySQL;Oracle,ESP8266;Windows Desktop or Server,Windows Desktop or Server,Angular;Node.js;React,Node.js;React,Eclipse;IntelliJ;Notepad++;Visual Studio,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
1350,Employed full-time,"Professional degree (JD, MD, etc.)","10,000 or more employees",6-8 years,18-20 years,Back-end developer;Data or business analyst;DevOps specialist;Embedded applications or devices developer,,JavaScript;Python;R;SQL;VBA;Cobol;HTML,Go;JavaScript;Python;R;Ruby;SQL;TypeScript;VBA;VB.NET;Bash/Shell,SQL Server;IBM Db2,MongoDB;Apache HBase;Apache Hive;Elasticsearch,Mainframe,AWS;IBM Cloud or Watson,,Hadoop;TensorFlow,Notepad++;PyCharm;RStudio;Visual Studio,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
1365,Employed full-time,Associate degree,100 to 499 employees,0-2 years,3-5 years,Back-end developer;System administrator,,Python,Erlang;Go;Rust,PostgreSQL,,AWS;Heroku;Linux;Mac OS,Google Cloud Platform/App Engine,Django,Django,Atom;PyCharm,MacOS,,,Hobby;Contribute to open-source projects,,,,,
1381,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,12-14 years,12-14 years,Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,37428.0,C#;JavaScript;Perl;PHP;SQL;TypeScript;VBA;VB.NET;Visual Basic 6;HTML;CSS,JavaScript;TypeScript,"MongoDB;SQL Server;MySQL;PostgreSQL;IBM Db2;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",MongoDB;SQL Server;PostgreSQL;Google BigQuery;Elasticsearch,Android;Arduino;AWS;Azure;Linux;Salesforce;SharePoint;Windows Desktop or Server;Windows Phone,Amazon Echo;Android;AWS;Google Cloud Platform/App Engine;Linux;Raspberry Pi,Angular;.NET Core;Node.js;Cordova,Angular;.NET Core;Node.js;React;TensorFlow,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
1395,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,0-2 years,3-5 years,Back-end developer;Front-end developer;Full-stack developer,9360.0,Java;JavaScript;Python;SQL;HTML;CSS,C#;Java;JavaScript;SQL;Kotlin,MySQL;PostgreSQL,MySQL;PostgreSQL,Linux;Windows Desktop or Server,Linux;Windows Desktop or Server,Angular,Angular,Eclipse;NetBeans;Visual Studio Code,Linux-based,18 - 24 years old,Male,Contribute to open-source projects,,,,,
1412,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",3-5 years,3-5 years,Back-end developer;Full-stack developer,13848.0,C#;JavaScript;SQL;VB.NET;Visual Basic 6;HTML;CSS,C#;Python;SQL,SQL Server,SQL Server,SharePoint;Windows Desktop or Server,SharePoint,.NET Core,Angular;.NET Core;Node.js;React;Xamarin,Notepad++;Visual Studio,Windows,25 - 34 years old,Male,Contribute to open-source projects,,,,,
1594,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,3-5 years,12-14 years,Back-end developer;Front-end developer;Full-stack developer,,Java;JavaScript;SQL;HTML;CSS,Java;JavaScript;SQL;HTML,MongoDB;Oracle,Oracle,Linux;Windows Desktop or Server,Linux;Windows Desktop or Server,Node.js,Node.js,Eclipse;NetBeans;Notepad++,Windows,25 - 34 years old,Male,Contribute to open-source projects,,,,,
1601,Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,,0-2 years,Student,,C#;JavaScript;HTML;CSS,C#,SQL Server,SQL Server,Windows Desktop or Server,Windows Desktop or Server,.NET Core,.NET Core,Visual Studio,Windows,Under 18 years old,Male,Hobby;Contribute to open-source projects,,,,,
1644,Employed part-time,Some college/university study without earning a degree,Fewer than 10 employees,3-5 years,3-5 years,Back-end developer;Database administrator;Designer;DevOps specialist;Full-stack developer;Mobile developer;Student;System administrator,,Java;JavaScript;PHP;Python;SQL;HTML;CSS,Java;JavaScript;Objective-C;Python;SQL;Kotlin,,,,,,,Android Studio;Eclipse;IPython / Jupyter;PHPStorm;PyCharm;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code,Linux-based,,,Hobby;Contribute to open-source projects,,,,,
1722,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Fewer than 10 employees,9-11 years,9-11 years,"C-suite executive (CEO, CTO, etc.)",,Groovy;Java;JavaScript;SQL;HTML;CSS,C#;Groovy;Java;JavaScript;Kotlin;HTML;CSS,Redis;MySQL;Amazon DynamoDB;Amazon RDS/Aurora;Elasticsearch,MySQL;Amazon DynamoDB;Amazon RDS/Aurora,AWS;Serverless,AWS;Azure;Google Cloud Platform/App Engine;Serverless,Angular;Node.js,.NET Core;Node.js;Spring,Sublime Text;Visual Studio Code,Linux-based,25 - 34 years old,Male,Contribute to open-source projects,,,,,
1745,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,3-5 years,6-8 years,Back-end developer;Front-end developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
1864,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,12-14 years,15-17 years,Back-end developer;Front-end developer;Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
1933,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,,6-8 years,Back-end developer;Data or business analyst;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,,,,,,,,,,,,,,Contribute to open-source projects,,,,,
1947,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,3-5 years,3-5 years,Back-end developer;Front-end developer;Full-stack developer,22452.0,CoffeeScript;Go;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,C;C++;Rust,Redis;SQL Server;MySQL;PostgreSQL;MariaDB;Elasticsearch,,Linux;Raspberry Pi;Windows Desktop or Server;Windows Phone;WordPress,,Angular;Node.js;React,,Vim;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
1957,Employed full-time,Some college/university study without earning a degree,10 to 19 employees,15-17 years,15-17 years,Back-end developer;Embedded applications or devices developer;Engineering manager;Full-stack developer;Game or graphics developer;Mobile developer;System administrator,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
1987,Employed full-time,Associate degree,Fewer than 10 employees,18-20 years,24-26 years,"C-suite executive (CEO, CTO, etc.)",,Java,Go;Java,PostgreSQL;Amazon RDS/Aurora,Redis;PostgreSQL;Amazon DynamoDB;Amazon RDS/Aurora,AWS;Linux;Windows Desktop or Server,Android;AWS;Linux;Windows Desktop or Server,Angular,,NetBeans,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
2027,Employed full-time,"Professional degree (JD, MD, etc.)",100 to 499 employees,6-8 years,9-11 years,Back-end developer;DevOps specialist;Full-stack developer;Product manager,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
2101,Employed full-time,Some college/university study without earning a degree,20 to 99 employees,,6-8 years,Back-end developer;Front-end developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
2161,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",9-11 years,9-11 years,Back-end developer;Front-end developer;Full-stack developer,28068.0,Java;JavaScript;SQL;TypeScript;HTML;CSS,Go;Groovy;Scala,MySQL;PostgreSQL,Cassandra;MongoDB;Redis;Amazon DynamoDB;Apache HBase;Neo4j;Elasticsearch,Linux;Windows Desktop or Server,Gaming console,Angular;Node.js;Spring,Angular;React;Spring,Eclipse,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
2202,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees",21-23 years,21-23 years,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Full-stack developer;QA or test developer,108552.0,,Python,,MySQL;PostgreSQL;Oracle,,IBM Cloud or Watson;Serverless;Windows Desktop or Server,,Node.js,Notepad++;Visual Studio Code,Windows,45 - 54 years old,Male,Hobby;Contribute to open-source projects,,,,,
2297,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,3-5 years,9-11 years,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;Student,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
2303,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,0-2 years,6-8 years,Full-stack developer,7116.0,C#;JavaScript;SQL;HTML;CSS,C#;JavaScript;R;SQL;HTML;CSS,SQL Server,SQL Server;PostgreSQL;SQLite,Android;Azure,,Angular;Node.js;Cordova,Angular;.NET Core;Node.js;React;Cordova;Xamarin,IPython / Jupyter;Notepad++;RStudio;Visual Studio;Visual Studio Code,Windows,18 - 24 years old,Male,Contribute to open-source projects,,,,,
2329,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,9-11 years,9-11 years,Back-end developer;Desktop or enterprise applications developer;Student,29940.0,C#;JavaScript;SQL;VB.NET;Visual Basic 6;HTML;CSS,C#;JavaScript;SQL;VB.NET;CSS,"SQL Server;SQLite;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQL Server;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;Arduino;Azure;Raspberry Pi,Android;Arduino;Azure;Raspberry Pi,.NET Core,Angular;.NET Core;Node.js,Android Studio;Eclipse;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
2455,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",9-11 years,12-14 years,Full-stack developer,14976.0,Java;SQL,Java,,,,,,,Android Studio;Eclipse;NetBeans;Notepad++,Windows,25 - 34 years old,Male,Contribute to open-source projects,,,,,
2481,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,0-2 years,3-5 years,Back-end developer;Database administrator;Desktop or enterprise applications developer;Full-stack developer,11232.0,Java;SQL;Delphi/Object Pascal,C#;Java;Lua;Python,MySQL;PostgreSQL,MySQL;PostgreSQL;SQLite,Android;Google Cloud Platform/App Engine,Android;Arduino;Google Cloud Platform/App Engine;Google Home;Raspberry Pi;Firebase,Spring,Spring;TensorFlow,Android Studio;IntelliJ;Notepad++;Sublime Text;Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
2533,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",500 to 999 employees,,18-20 years,,,Haskell;Bash/Shell,Haskell;Bash/Shell,,,Arduino,,,,Emacs;Light Table;TextMate,MacOS,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
2536,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,,6-8 years,QA or test developer,,Java;JavaScript;PHP;SQL,C#;Java;JavaScript;PHP;SQL,SQL Server;MySQL,MySQL,Android,Android;Arduino;Linux,,Angular;React;Spring,Android Studio;Eclipse;NetBeans;PHPStorm,Windows,,,Hobby;Contribute to open-source projects,,,,,
2580,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",3-5 years,9-11 years,Data or business analyst;Data scientist or machine learning specialist;Database administrator,33684.0,JavaScript;Python;R;TypeScript;Bash/Shell,JavaScript;Python;R;Ruby;TypeScript;Bash/Shell,SQL Server;PostgreSQL;Amazon Redshift,Cassandra;PostgreSQL;Amazon Redshift,AWS;Linux;Mac OS,AWS;Heroku;Linux;Mac OS;Serverless,Node.js,Hadoop;Node.js;React;Spark;TensorFlow,RStudio;Vim,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
2595,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,6-8 years,9-11 years,Back-end developer;Full-stack developer,95000.0,C++;C#;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,C++;Python,MySQL;PostgreSQL;Amazon DynamoDB,PostgreSQL;Amazon DynamoDB,Linux;Mac OS;Serverless,Serverless,Django;Node.js,TensorFlow,IPython / Jupyter;PyCharm;Sublime Text;Vim,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
2672,Employed full-time,Some college/university study without earning a degree,20 to 99 employees,6-8 years,9-11 years,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;Product manager;System administrator",14976.0,Assembly;C;C++;C#;Go;Java;JavaScript;Lua;R;Ruby;SQL;Swift;TypeScript;VBA;VB.NET;Visual Basic 6;Kotlin;HTML;CSS;Bash/Shell,Erlang,Cassandra;MongoDB;SQL Server;MySQL;PostgreSQL;SQLite,,Android;Arduino;AWS;iOS;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server,,Node.js;React,,Android Studio;Visual Studio Code,Linux-based,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
2709,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",3-5 years,12-14 years,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,,Clojure;Groovy;Java;JavaScript;PHP;SQL;Kotlin;HTML;CSS;Bash/Shell,Clojure;Go;Haskell;Java;JavaScript;Kotlin,MongoDB;MySQL;PostgreSQL;Amazon DynamoDB,MongoDB;Amazon DynamoDB,Android;iOS;Linux;Firebase,Android;Arduino;iOS;Linux;Raspberry Pi;Firebase,Angular;Node.js;React,Node.js;React,Android Studio;IntelliJ;PHPStorm;Sublime Text;Visual Studio Code;Xcode,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
2777,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,3-5 years,6-8 years,Back-end developer;Front-end developer;Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
2802,Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,0-2 years,3-5 years,Front-end developer;Full-stack developer;Student,4104.0,C;C++;Java;JavaScript;PHP;Scala;SQL;HTML;CSS,Java;JavaScript;Ruby;SQL;HTML;CSS,MongoDB;PostgreSQL;Oracle,MongoDB,Heroku;Linux;WordPress,Android;Heroku;Linux;WordPress,Angular;Node.js;Spring,Angular;Node.js;React,Atom;Eclipse;Notepad++;Visual Studio Code,Windows,18 - 24 years old,Female,Hobby;Contribute to open-source projects,,,,,
3120,Employed full-time,Primary/elementary school,"5,000 to 9,999 employees",,0-2 years,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;Student,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
3131,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,0-2 years,9-11 years,,18720.0,Assembly;C;C++;Python;Bash/Shell,Assembly;C;C++;Python;Bash/Shell,,,Android;Linux;Windows Desktop or Server,Android;Arduino;Gaming console;iOS;Linux,TensorFlow;Torch/PyTorch,,Android Studio;Notepad++;Vim,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
3138,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees",9-11 years,12-14 years,Back-end developer;DevOps specialist;Embedded applications or devices developer;Student,37430.0,Go;Python;Bash/Shell,C++;Go;Python,MongoDB;Redis;MySQL;Elasticsearch,Redis;MySQL;Elasticsearch,Linux,AWS;Linux,Django,Django;Spark,IPython / Jupyter;Vim,MacOS,25 - 34 years old,Female,Hobby;Contribute to open-source projects,,,,,
