ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,Age,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities,Gender
550,I am a developer by profession,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Student, part-time",Some college/university study without earning a degree,,,7,"Developer, back-end",,C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Assembly;C;C++;Delphi;Go;Haskell;Objective-C;Rust;Zig,Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Cockroachdb;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Microsoft Azure;Vercel,"Amazon Web Services (AWS);Digital Ocean;Fly.io;Google Cloud;Linode, now Akamai;Vercel",ASP.NET;ASP.NET CORE;Blazor;Deno;Django;Express;FastAPI;Flask;jQuery;Next.js;Node.js;React,ASP.NET;ASP.NET CORE;Express;Next.js;Node.js;React;Solid.js;Spring Boot;Vue.js,Android Studio;Atom;Eclipse;IntelliJ IDEA;Nano;Notepad++;PyCharm;Rider;Visual Studio Code,Emacs;IntelliJ IDEA;Neovim;Rider;Vim;Visual Studio Code,Debian,18-24 years old,.NET (5+) ;Flutter;React Native;TensorFlow;Torch/PyTorch,.NET (5+) ;React Native,Hobby;Professional development or self-paced learning from online courses;School or academic work,
645,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",5,9,"Developer, back-end",,HTML/CSS;Java;JavaScript;Python;SQL,Go;HTML/CSS;Java;JavaScript;Python;SQL,Elasticsearch;Firebase Realtime Database;Oracle,Elasticsearch;Firebase Realtime Database;Oracle,Firebase;Google Cloud,Firebase;Google Cloud,Flask;Node.js;Spring Boot;Vue.js,Flask;Node.js;Spring Boot;Vue.js,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Spyder;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,MacOS,25-34 years old,Apache Kafka;JAX;Spring Framework,Apache Kafka;Flutter;JAX;Pandas;Spring Framework,Hobby;Bootstrapping a business;Freelance/contract work,
682,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,2,5,"Developer, back-end",,C#;Java;Python,C++;Clojure;GDScript;Java;Lisp;Lua;Prolog;Python;Rust,Elasticsearch;Microsoft SQL Server;Oracle;Redis,MongoDB;Neo4J;Oracle;PostgreSQL;Redis,,,Django;React;Spring Boot,FastAPI;Flask;Spring Boot,Emacs;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm,Android Studio;Emacs;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Spyder,Ubuntu,25-34 years old,Apache Kafka;RabbitMQ;Spring Framework,Apache Kafka;CUDA;Keras;NumPy;Opencv;OpenGL;Pandas;RabbitMQ;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch,Hobby;School or academic work,
747,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,15,20,"Developer, full-stack",16230.0,C#;Delphi;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;Visual Basic (.Net),C#;Dart;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;Rust;SQL,Firebird;MySQL;PostgreSQL;SQLite,Elasticsearch;PostgreSQL;SQLite,VMware,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Flask;jQuery;Node.js;React;Vue.js,ASP.NET;ASP.NET CORE;Blazor;Node.js;Vue.js,Android Studio;Eclipse;Netbeans;Notepad++;Visual Studio Code;Xcode,Android Studio;Notepad++;Visual Studio Code,Android;iOS;Windows,35-44 years old,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;Flutter;RabbitMQ;TensorFlow,Hobby;Contribute to open-source projects;Freelance/contract work,
777,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,500 to 999 employees,10,15,"Developer, front-end",36518.0,HTML/CSS;JavaScript,HTML/CSS;JavaScript,Elasticsearch,Elasticsearch,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;Netlify,Amazon Web Services (AWS);Netlify,Angular;AngularJS;Gatsby;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress,Node.js;React,Android Studio;Atom;Eclipse;IntelliJ IDEA;Notepad++;Sublime Text;Vim;Visual Studio Code;WebStorm,Notepad++;Visual Studio Code,Android;Windows;Windows Subsystem for Linux (WSL),25-34 years old,Cordova;Ionic;Opencv;OpenGL;Quarkus;React Native;Spring Framework;Xamarin,React Native,Hobby;School or academic work,
788,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,13,"Developer, back-end",,Bash/Shell (all shells);C;C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Assembly;Dart;Java;PHP;Python;SQL,Firebird;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Cassandra;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Digital Ocean;Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),CodeIgniter;jQuery;Laravel,Angular;AngularJS;jQuery;Node.js;React;Spring Boot,Android Studio;Code::Blocks;Eclipse;Netbeans;Notepad++;Sublime Text;Vim;Visual Studio Code,Eclipse;IntelliJ IDEA;Netbeans;PyCharm;Vim;Visual Studio Code;Xcode,Other Linux-based;Windows;Other (Please Specify):,25-34 years old,.NET Framework (1.0 - 4.8);Flutter,Apache Kafka;Flutter;GTK;Hadoop;React Native;Spring Framework,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,
841,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,7,11,"Developer, full-stack",24345.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;Solidity;SQL;TypeScript,PostgreSQL;SQLite,MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Vercel,Amazon Web Services (AWS);Cloudflare;Firebase;Vercel,Django;Express;jQuery;NestJS;Node.js;React;Vue.js,Django;Express;NestJS;Node.js;Qwik;React;Remix;Solid.js;Svelte;Vue.js,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,Ubuntu;Windows Subsystem for Linux (WSL),25-34 years old,Electron;NumPy,Electron;NumPy;Tauri,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;School or academic work,
878,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",23,25,"Developer, full-stack",28403.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,Oracle,Oracle,,,,,Netbeans,Netbeans,Ubuntu,35-44 years old,,,Hobby,
950,I am a developer by profession,"Employed, full-time","Associate degree (A.A., A.S., etc.)",500 to 999 employees,5,7,"Developer, full-stack",14303.0,JavaScript;PHP;TypeScript,Kotlin;Rust;TypeScript,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MongoDB;MySQL;Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Digital Ocean;Vercel,Express;Fastify;Laravel;NestJS;Node.js;React;Vue.js,Angular;NestJS;Node.js;React,Visual Studio Code,Visual Studio Code;WebStorm,Ubuntu;Windows,18-24 years old,RabbitMQ;React Native,GTK;Qt;RabbitMQ;React Native,Hobby;Contribute to open-source projects,
956,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",3,11,"Developer, desktop or enterprise applications",56805.0,Clojure;GDScript;Python,Clojure;GDScript;Python;Rust,,,,,,,CLion;Nano;PyCharm;Visual Studio Code,CLion;Nano;PyCharm,Debian;Other Linux-based,25-34 years old,CUDA,CUDA,Hobby,
974,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,6,17,"Developer, full-stack",44633.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;Rust;TypeScript,Cloud Firestore;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;SQLite;Supabase,Elasticsearch;PostgreSQL;Supabase,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;Hetzner;Microsoft Azure;Vercel,Hetzner;Vercel,Express;jQuery;Next.js;Node.js;React;Svelte;WordPress,Deno;Express;Next.js;Node.js;Svelte;Vue.js,Android Studio;IntelliJ IDEA;Vim;Visual Studio Code;Xcode,Vim;Visual Studio Code,Android;iOS;MacOS,25-34 years old,React Native,Flutter,Hobby;Contribute to open-source projects,
984,I am a developer by profession,"Employed, full-time","Associate degree (A.A., A.S., etc.)",10 to 19 employees,4,5,"Developer, full-stack",6289.0,Dart;HTML/CSS;JavaScript;Python;SQL,Rust,Dynamodb;MongoDB;PostgreSQL;SQLite,Redis,Amazon Web Services (AWS);Digital Ocean;Netlify,,Django;Express;NestJS;Next.js;Node.js;React,Solid.js;Svelte,Visual Studio Code,,,18-24 years old,Flutter,RabbitMQ,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,
1110,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",15,15,"Developer, full-stack",22398.0,C;C#;C++;Elixir;F#;Java;JavaScript;Objective-C;PHP;SQL;TypeScript;VBA;Visual Basic (.Net),C#;JavaScript;SQL;TypeScript,Cassandra;Dynamodb;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Dynamodb;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;CodeIgniter;Express;jQuery;Next.js;Node.js;Vue.js;WordPress,Angular;ASP.NET CORE;Express;jQuery;Next.js;Node.js;React;Vue.js,Android Studio;Atom;Eclipse;Netbeans;Notepad++;Qt Creator;Rider;Visual Studio Code;Xcode,Visual Studio Code,iOS;Ubuntu;Windows,25-34 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Spring Framework;SwiftUI;Xamarin,.NET (5+) ;Flutter;RabbitMQ;React Native,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,
1117,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,15,15,"Developer, full-stack",169000.0,Delphi,Delphi,MariaDB;MySQL;SQLite,MySQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Laravel,,"Atom;Rad Studio (Delphi, C++ Builder)","Rad Studio (Delphi, C++ Builder)",Windows,25-34 years old,NumPy;OpenGL;Pandas,,Hobby;Contribute to open-source projects;Freelance/contract work,
1142,I am a developer by profession,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,2,"Developer, front-end",,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;Rust;TypeScript,MariaDB,MariaDB;PostgreSQL;Supabase,,,NestJS;Next.js;React,NestJS;Next.js;React,Visual Studio Code,IntelliJ IDEA;Visual Studio Code,Ubuntu,25-34 years old,,,Hobby;School or academic work,
1208,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,4,13,"Developer, desktop or enterprise applications",8115.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Firebird,MySQL;PostgreSQL,,,Express;Node.js;React,Express;Next.js;Node.js;React,Visual Studio Code,Visual Studio Code,Windows,25-34 years old,Electron,Electron,Hobby,
1234,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,15,15,DevOps specialist,97381.0,Bash/Shell (all shells);JavaScript;PHP;TypeScript,Bash/Shell (all shells);JavaScript;TypeScript,Dynamodb;Elasticsearch;MariaDB;MySQL;PostgreSQL,Dynamodb;Elasticsearch;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Vercel,Angular;Express;Laravel;Node.js;React,Angular;Laravel;Node.js;React,Android Studio;PhpStorm;Visual Studio Code;WebStorm,PhpStorm;WebStorm,Ubuntu;Windows,25-34 years old,Capacitor;Cordova;Electron;Ionic,Electron;React Native,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,
1235,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",9,10,"Developer, back-end",81150.0,C;C++;Java;JavaScript;Kotlin,Java;JavaScript;Kotlin;Rust,BigQuery;Cassandra;MongoDB;MySQL;PostgreSQL,BigQuery;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud,,Flask;jQuery;Node.js;React;Spring Boot,Node.js;React;Spring Boot,Eclipse;IntelliJ IDEA;RubyMine;Visual Studio Code;WebStorm,IntelliJ IDEA;Visual Studio Code;WebStorm,Android;MacOS,25-34 years old,Spring Framework,Spring Framework,I don’t code outside of work,
1303,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,14,24,Scientist,,C#;Fortran;HTML/CSS;JavaScript;PowerShell;Python;VBA;Visual Basic (.Net),,,,,,,,,,,45-54 years old,.NET Framework (1.0 - 4.8),,Hobby;Freelance/contract work,
1305,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,500 to 999 employees,15,18,"Developer, full-stack",17105.0,Bash/Shell (all shells);C;C++;Java;JavaScript;Rust;SQL,Java;JavaScript;Rust;SQL,Oracle,Oracle,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),jQuery;Node.js;React,React,Eclipse;Nano;Neovim;Visual Studio Code;VSCodium,Eclipse;Neovim;Visual Studio Code;VSCodium,Ubuntu,35-44 years old,,,Hobby;Professional development or self-paced learning from online courses,
1467,I am a developer by profession,"Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,7,10,"Developer, full-stack",14201.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Dart;HTML/CSS;JavaScript;R;TypeScript,MariaDB;PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);OpenStack,Angular;Express;Laravel;Node.js,Angular;ASP.NET CORE;Express;Node.js,Android Studio;PhpStorm;Visual Studio Code,DataGrip;PhpStorm;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),25-34 years old,Electron;Flutter;RabbitMQ,Flutter;RabbitMQ,I don’t code outside of work,
1508,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",4,7,"Developer, full-stack",24345.0,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;Rust;Solidity;TypeScript,MongoDB;PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Google Cloud,Angular;Express;Node.js,Angular;Express;NestJS;Node.js;Qwik;Vue.js,PyCharm;Visual Studio Code,Fleet;PyCharm;Visual Studio Code;WebStorm,MacOS;Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),18-24 years old,,,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,
1540,I am a developer by profession,"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,4,"Developer, full-stack",,HTML/CSS;Java;JavaScript;SQL;TypeScript,Ruby;Rust;SQL;TypeScript,PostgreSQL,Elasticsearch;MongoDB;PostgreSQL,,,Node.js;React;Spring Boot;Vue.js,Nuxt.js;Ruby on Rails;Svelte,IntelliJ IDEA;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,Ubuntu,25-34 years old,React Native;Spring Framework,Electron;Flutter,Hobby;Contribute to open-source projects;Freelance/contract work;School or academic work,
1610,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",17,32,"Developer, full-stack",60863.0,HTML/CSS;Java;JavaScript;Python;TypeScript,Clojure;Elixir;JavaScript;Kotlin;Lua;Nim;Python;Rust;Zig,Microsoft SQL Server;Oracle;Redis,PostgreSQL;SQLite,,,Angular,Elm;FastAPI;React;Svelte,Neovim,Neovim,Ubuntu,35-44 years old,,,Hobby,
1712,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,20 to 99 employees,17,20,"Developer, back-end",51600.0,Java;JavaScript;SQL;TypeScript,JavaScript;Kotlin;SQL,H2;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,H2;IBM DB2;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Oracle Cloud Infrastructure (OCI),Digital Ocean;Firebase;Oracle Cloud Infrastructure (OCI),Angular;AngularJS;Express;jQuery;Node.js;React;Spring Boot;Vue.js,Node.js;Spring Boot;Vue.js,Eclipse;IntelliJ IDEA;Visual Studio Code,,MacOS;Other Linux-based;Other (Please Specify):,35-44 years old,Spring Framework,Spring Framework,Hobby;Bootstrapping a business,
1719,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,2,7,Other (please specify):,,C#;Java,C#;Java;Python,,,,,ASP.NET;ASP.NET CORE,,Visual Studio Code,Visual Studio Code,Windows,25-34 years old,.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),Hobby;Professional development or self-paced learning from online courses,
1777,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",5,8,"Developer, full-stack",20288.0,Bash/Shell (all shells);C#;C++;Java;MATLAB;PowerShell;R;SQL;VBA,C#;SQL;VBA,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,Microsoft Access,VMware,,,,,,Windows,25-34 years old,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET Framework (1.0 - 4.8),Hobby;Freelance/contract work;School or academic work,
1946,I am a developer by profession,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,1,2,"Developer, full-stack",,HTML/CSS;JavaScript;PHP;PowerShell;SQL,C;C#;C++;Elixir;PowerShell;Python;Rust;SQL;TypeScript,MySQL;Redis,Cloud Firestore;Dynamodb;Firebase Realtime Database;MySQL;PostgreSQL;Redis;Supabase,,,Laravel;Node.js;Vue.js,Blazor;Deno;Laravel;NestJS;Next.js;Node.js;Nuxt.js;Ruby on Rails;Svelte;Vue.js,Visual Studio Code,PhpStorm;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),18-24 years old,,,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,
1955,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",Some college/university study without earning a degree,20 to 99 employees,40,40,Project manager,,C;C#;C++,C#;Rust,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,,,Visual Studio,Visual Studio,Windows,65 years or older,.NET (5+) ;Apache Spark,.NET (5+) ,Hobby,
1977,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,10 to 19 employees,5,7,"Developer, full-stack",,HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;JavaScript;PHP;SQL,MySQL,Firebase Realtime Database;MySQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase,jQuery;Laravel;Vue.js,Laravel;Vue.js,Visual Studio Code,PhpStorm;Visual Studio Code;WebStorm,Ubuntu,25-34 years old,,,School or academic work,
