ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,Age,Gender,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities
545,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,15,17,"Developer, back-end;Developer, front-end;Developer, full-stack;Product manager",32070.0,C#;HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Linux;Microsoft Azure;Windows,Docker;Kubernetes;Linux;Microsoft Azure;Windows,ASP.NET;ASP.NET Core;Laravel;Vue.js,ASP.NET;ASP.NET Core;Flask;Laravel;Vue.js,Jira;Github;Gitlab;Slack,Jira;Github;Gitlab;Slack,Windows,33.0,Man,.NET;.NET Core;Hadoop;Node.js,.NET;.NET Core;Apache Spark;Flutter;Hadoop;Node.js;TensorFlow,
555,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,18,21,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",32070.0,C#;HTML/CSS;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Windows,Microsoft Azure;Windows,Angular,Angular,"Google Suite (Docs, Meet, etc)","Google Suite (Docs, Meet, etc)",Windows,40.0,Man,.NET;.NET Core;Cordova,.NET Core,Hobby
630,I am a developer by profession,Employed full-time,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,10,15,"Developer, back-end;Developer, full-stack",24744.0,Bash/Shell/PowerShell;HTML/CSS;Java;SQL,Java;Kotlin;Python,Microsoft SQL Server;Oracle,Microsoft SQL Server;PostgreSQL,Docker;Kubernetes;Linux;Microsoft Azure;Windows,Docker;Linux;Microsoft Azure,Angular.js;React.js,React.js,"Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)","Github;Gitlab;Microsoft Teams;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Windows,34.0,Man,,.NET Core;Node.js;React Native,Hobby
639,I am a developer by profession,Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,14,,,C++;HTML/CSS;JavaScript;Ruby,C++;Dart;HTML/CSS;JavaScript;Ruby,MySQL;Oracle;PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis,Android;Heroku;iOS;Linux;MacOS;Slack Apps and Integrations,Android;Arduino;AWS;Docker;Heroku;IBM Cloud or Watson;Linux;Slack Apps and Integrations,Angular.js;Ruby on Rails,Angular;Laravel;React.js;Ruby on Rails;Vue.js,Github;Gitlab;Slack;Trello,Jira;Github;Gitlab;Slack;Trello,Linux-based,27.0,Man,Cordova;Node.js,Ansible;Flutter;React Native;TensorFlow;Teraform,
652,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2,10,"Developer, mobile",15120.0,Bash/Shell/PowerShell;C;Objective-C;Python;Swift,Bash/Shell/PowerShell;Dart;Python;Swift,Firebase,Firebase,Android;Arduino;iOS;Linux;MacOS,Android;iOS;Linux;MacOS,,,Github;Gitlab;Slack,Github;Gitlab;Slack,MacOS,25.0,Man,Flutter,Flutter,Hobby
766,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,3,6,"Developer, embedded applications or devices;Developer, mobile;Developer, QA or test",11820.0,C;C#,Dart;Python,DynamoDB;Firebase;PostgreSQL,,Android;Arduino;AWS;iOS;Linux,Microsoft Azure,Django,ASP.NET Core,Github;Slack;Trello,Github;Gitlab;Slack;Trello,MacOS,26.0,Man,.NET;.NET Core;Xamarin,.NET Core;Flutter;Unity 3D;Xamarin,Hobby
828,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,3,12,"Database administrator;Developer, back-end;Developer, full-stack;System administrator",4500.0,Bash/Shell/PowerShell;Java;JavaScript;PHP;SQL,Go;Java,PostgreSQL,Elasticsearch;MariaDB;PostgreSQL;Redis,AWS;Linux;Slack Apps and Integrations,AWS;Kubernetes;Linux;Raspberry Pi,Angular;Angular.js;jQuery;React.js,,Github;Slack,Jira;Github;Gitlab;Stack Overflow for Teams,Linux-based,21.0,Man,Node.js,,Hobby
859,I am a developer by profession,Employed full-time,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",14,21,"Developer, full-stack",24744.0,Java;JavaScript;SQL;TypeScript,C;C++;Java;Kotlin;SQL;Swift,MongoDB;Oracle;PostgreSQL,,Docker;Windows,Android;Docker;iOS;Raspberry Pi,jQuery;Spring,Spring,Jira;Github;Slack;Microsoft Teams,Jira;Github;Slack;Microsoft Teams,Windows,37.0,Man,,Hadoop;TensorFlow;Unity 3D,
951,I am a developer by profession,Employed full-time,"Professional degree (JD, MD, etc.)",100 to 499 employees,10,12,"Developer, back-end;Developer, full-stack",35506.0,HTML/CSS;Java;JavaScript,Java;Kotlin,Elasticsearch;PostgreSQL;SQLite,Cassandra;Couchbase;DynamoDB;Elasticsearch;PostgreSQL;Redis;SQLite,Docker;Linux;Windows,AWS;Docker;Google Cloud Platform;Linux;Windows,Angular;Angular.js;Spring,Angular;Express;React.js;Spring;Vue.js,Github;Slack;Microsoft Teams,Jira;Github;Gitlab;Slack;Microsoft Teams,Linux-based,32.0,Man,,Node.js,Hobby
1013,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,6,8,"Developer, back-end;Developer, front-end;Developer, full-stack",27488.0,C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;TypeScript,Dart;Go;JavaScript;Kotlin;Python;Ruby;Rust;Swift;TypeScript,Cassandra;DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Cassandra;DynamoDB;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,Android;Arduino;AWS;Docker;Heroku;iOS;Kubernetes;Linux;MacOS;Windows;WordPress,Android;AWS;Docker;Heroku;Kubernetes;Linux;MacOS,Angular;Angular.js;ASP.NET;ASP.NET Core;Django;Drupal;Express;Flask;jQuery;React.js;Ruby on Rails;Spring;Symfony;Vue.js,Angular;Django;Express;Flask;React.js;Ruby on Rails,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,Confluence;Jira;Github;Slack;Microsoft Teams;Trello,Linux-based,25.0,Man,.NET;Apache Spark;Cordova;Hadoop;Node.js;React Native,Ansible;Apache Spark;Chef;Hadoop;Node.js;Puppet;React Native,Hobby
1046,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,2 to 9 employees,3,7,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist;Engineer, data;Scientist;System administrator",13740.0,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Python,Bash/Shell/PowerShell;Dart;Go;Haskell;JavaScript;Kotlin;Python;Rust;Swift,PostgreSQL;SQLite,DynamoDB;MongoDB;PostgreSQL,Arduino;AWS;Docker;Linux;MacOS,Android;AWS;Docker;iOS;Kubernetes;Linux,Django;Vue.js,Django;Express;Flask;React.js;Vue.js,Github;Slack;Microsoft Teams,Github;Slack,Linux-based,24.0,Man,,Flutter;Keras;Node.js;Pandas;TensorFlow;Teraform;Torch/PyTorch,Hobby
1063,I am a developer by profession,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,Less than 1 year,3,"Developer, back-end;Developer, front-end;Developer, full-stack",4128.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,MongoDB;MySQL,MongoDB,Linux;WordPress,Linux,Angular;Express;jQuery;React.js;Vue.js,Express;Vue.js,Github;Gitlab;Trello,Github,Linux-based,18.0,Man,Keras;Node.js;TensorFlow,Node.js,Hobby
1077,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,3,10,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",27492.0,HTML/CSS;JavaScript;Python;Ruby;Scala;SQL;TypeScript,C#;Go;HTML/CSS;Java;JavaScript;Julia;Kotlin;Python;TypeScript,DynamoDB;MySQL,DynamoDB;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,AWS,Android;AWS;Docker;Google Cloud Platform;Microsoft Azure,Angular,Angular;ASP.NET;ASP.NET Core;Express;React.js;Spring;Vue.js,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Windows,25.0,Man,Pandas,.NET;.NET Core;Flutter;Node.js;Pandas;React Native;TensorFlow,Hobby
1105,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,2 to 9 employees,4,8,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Engineer, data",13740.0,Bash/Shell/PowerShell;HTML/CSS;JavaScript,Bash/Shell/PowerShell,,,Android;AWS;Linux,Android;AWS;Linux;Raspberry Pi,React.js,React.js,Slack,Github;Gitlab;Slack,Linux-based,26.0,"Man;Non-binary, genderqueer, or gender non-conforming",React Native,React Native,Hobby
1234,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,4,9,"Database administrator;Developer, back-end;Developer, full-stack;System administrator",14292.0,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL,C#;Go;HTML/CSS;JavaScript;Python;R;SQL,DynamoDB;Microsoft SQL Server;MongoDB;MySQL;Redis,MySQL;PostgreSQL;Redis,AWS;Docker;Linux;Windows,AWS;Docker;Kubernetes;Linux;Microsoft Azure,ASP.NET;ASP.NET Core;jQuery,ASP.NET Core;Django;Flask;Vue.js,"Confluence;Jira;Gitlab;Facebook Workplace;Trello;Google Suite (Docs, Meet, etc)",Confluence;Jira;Gitlab,Windows,25.0,Woman,.NET;.NET Core,.NET Core;Hadoop;Pandas;TensorFlow;Unity 3D,
1274,I am a developer by profession,Employed full-time,"Professional degree (JD, MD, etc.)",,4,8,"Data or business analyst;Database administrator;Developer, back-end;Developer, full-stack;Engineer, data",10992.0,C#;JavaScript;TypeScript,C;C#;JavaScript;Python;TypeScript,Firebase;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis,Redis,Docker;Heroku,Android;Docker;Heroku;iOS;Kubernetes;Microsoft Azure,Angular,Angular;Django;Flask;React.js,Jira;Github;Gitlab;Slack;Trello;Stack Overflow for Teams,Github,Windows,23.0,Man,.NET;.NET Core;Unity 3D,.NET;.NET Core;Unity 3D,Hobby
1347,I am a developer by profession,Employed full-time,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,15,22,"Developer, back-end;DevOps specialist",82464.0,C;C#;C++;HTML/CSS;Java;JavaScript;R;SQL;VBA,Python,DynamoDB;MySQL,DynamoDB;Elasticsearch;MySQL,AWS;Linux;Slack Apps and Integrations;Windows;WordPress,Android;AWS;Google Cloud Platform;Linux;Slack Apps and Integrations,Spring,Angular;Angular.js;Django;Flask;jQuery,Confluence;Jira;Github;Slack,"Confluence;Jira;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Linux-based,,Man,.NET;.NET Core;Node.js;Teraform,Chef;Teraform,
1395,I am a student who is learning to code,Employed part-time,Some college/university study without earning a degree,,,5,"Developer, mobile",,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Firebase;MySQL;SQLite,Firebase;MySQL;SQLite,Android;Google Cloud Platform,Android;AWS;Google Cloud Platform;iOS;Kubernetes,Angular,Angular;ASP.NET;ASP.NET Core;Django;jQuery;React.js;Vue.js,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Windows,25.0,Man,Node.js;TensorFlow,.NET;.NET Core;Cordova;Flutter;Node.js;React Native,Hobby
1458,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,18,23,"Academic researcher;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist;Engineer, data;Engineer, site reliability;Engineering manager;Scientist;Senior executive/VP",60480.0,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Perl;PHP;Python;Ruby;SQL;Swift;TypeScript,Haskell;Rust;Scala,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,DynamoDB;Elasticsearch;Redis,Android;AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows;WordPress,Kubernetes;MacOS;Raspberry Pi,Angular;Angular.js;ASP.NET;ASP.NET Core;Flask;jQuery;React.js;Ruby on Rails;Spring;Vue.js,,"Github;Gitlab;Microsoft Azure;Google Suite (Docs, Meet, etc)",Github;Gitlab;Microsoft Azure,MacOS,36.0,Man,.NET;.NET Core;Node.js;React Native,Node.js,Hobby
1479,I am a developer by profession,Employed full-time,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",4,8,"Developer, back-end",29321.0,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python;Ruby,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby,PostgreSQL,PostgreSQL,Docker;Google Cloud Platform;Heroku,Docker;Google Cloud Platform,React.js;Ruby on Rails,Ruby on Rails,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",MacOS,25.0,Man,Node.js,,
1483,I am a developer by profession,Employed full-time,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,19,26,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",38484.0,C;C++;HTML/CSS;JavaScript;Python,Kotlin;Swift,SQLite,,AWS;Google Cloud Platform;Linux;MacOS,Android,Angular;React.js,,"Jira;Gitlab;Google Suite (Docs, Meet, etc)",Slack,MacOS,43.0,Man,Node.js,Flutter,Hobby
1503,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,15,25,"Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile",32988.0,Java;JavaScript;SQL;TypeScript,Java;JavaScript;SQL;TypeScript,Elasticsearch;Firebase;Microsoft SQL Server;MySQL;SQLite,Elasticsearch;Firebase;MySQL;Oracle,Android;AWS;Docker;Heroku;Linux;MacOS;Windows,AWS;Docker;Heroku;Kubernetes;Linux;MacOS,Angular;Angular.js;React.js;Spring;Vue.js,Angular;Angular.js;React.js;Spring;Vue.js,Jira;Github;Gitlab;Slack;Trello,Jira;Github;Gitlab;Slack;Trello,Windows,50.0,Man,Cordova;Flutter;Node.js;React Native,Cordova;Node.js;React Native,
1604,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",4,6,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",12372.0,C#,C#;Go;JavaScript;Python,Microsoft SQL Server,MongoDB;PostgreSQL,Windows,Linux;Windows,ASP.NET,ASP.NET;ASP.NET Core;React.js,Confluence;Jira;Gitlab;Slack;Microsoft Teams,Confluence;Jira;Gitlab;Slack;Microsoft Teams,Windows,24.0,,.NET,.NET Core;Pandas;Unity 3D,Hobby
1740,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2,3,"Developer, full-stack",5496.0,C#;HTML/CSS;JavaScript;SQL,Dart;HTML/CSS;JavaScript;Python,Microsoft SQL Server;Oracle,Elasticsearch;MongoDB;PostgreSQL;Redis,Windows,Android;Arduino;Docker;Kubernetes;Linux;MacOS;Microsoft Azure,ASP.NET;React.js,ASP.NET Core;Express;React.js,Github;Microsoft Azure,Github;Microsoft Azure;Stack Overflow for Teams,Windows,20.0,Man,.NET;Cordova,.NET Core;Flutter;Node.js;React Native;TensorFlow;Unity 3D,Hobby
1775,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2,2,"Developer, front-end",4128.0,Assembly;Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL;TypeScript,Assembly;Bash/Shell/PowerShell;Dart;HTML/CSS;JavaScript;Python;Rust;TypeScript,PostgreSQL;SQLite,DynamoDB;Elasticsearch;Firebase;MongoDB;PostgreSQL;SQLite,Linux,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;Linux;Microsoft Azure,Express;Vue.js,Express;Gatsby;React.js;Vue.js,"Github;Google Suite (Docs, Meet, etc)","Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",Linux-based,24.0,Man,Node.js,Flutter;Node.js;React Native;TensorFlow;Unity 3D;Unreal Engine,Hobby
1798,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,4,7,"Developer, full-stack",21996.0,Haskell;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Dart;Haskell;HTML/CSS;JavaScript;Ruby;Scala;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,PostgreSQL;Redis,AWS;Linux,AWS;Linux,Django;Ruby on Rails,React.js;Ruby on Rails;Vue.js,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Linux-based,23.0,Woman,,,Hobby
1811,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,9,16,"Academic researcher;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;Educator",15120.0,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell/PowerShell;Dart;Go;JavaScript;SQL;TypeScript,Elasticsearch;MongoDB;MySQL,Elasticsearch;MySQL,AWS;Docker;Google Cloud Platform;Linux,AWS;Docker;Google Cloud Platform;Kubernetes;Linux,Angular;Angular.js;Express;jQuery,Angular;Express,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc)","Github;Google Suite (Docs, Meet, etc)",Linux-based,38.0,Man,Node.js,Flutter;Node.js;TensorFlow,Hobby
1841,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,16,20,"Developer, back-end;Developer, embedded applications or devices;System administrator",43428.0,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;R;SQL,Bash/Shell/PowerShell;C;C++;Haskell;Java;Python;R;Rust;SQL,Microsoft SQL Server;PostgreSQL;SQLite,Elasticsearch,Android;Docker;Linux;Windows,Android;Arduino;AWS;Docker;Linux;Raspberry Pi,Angular;Express;Spring,Spring,"Confluence;Jira;Slack;Google Suite (Docs, Meet, etc)",,Linux-based,38.0,Man,Node.js,Node.js;Pandas;TensorFlow;Teraform;Xamarin,
